URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
5uICWmZTLkpEVbK22PBP6e,evermore,marjorie,1,13,71,False,0.535,0.561,5,-11.609000000000002,1,0.0484,0.8759999999999999,0.000136,0.115,0.287,96.103,257773,4
5VYWxXUpxuxEmCqMLDqICo,evermore,long story short,1,12,71,False,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,4
6wAFvJPpTZVirBKGZ4EnMW,Midnights,Glitch,1,18,71,False,0.675,0.466,11,-9.738,0,0.201,0.361,0.0,0.11,0.34700000000000003,140.864,148781,4
2awNGIJHodfLZSClB3PYhz,evermore,coney island (Ft. The National),1,9,71,False,0.537,0.537,8,-11.265999999999998,1,0.0617,0.8190000000000001,0.000904,0.142,0.292,107.895,275320,4
66tOfHVH3aUrscg8vExRV4,evermore,dorothea,1,8,71,False,0.605,0.488,4,-8.322000000000001,1,0.0264,0.696,0.0,0.129,0.354,119.96600000000001,225880,4
52OkpDsU6MmPx1AwGOb6Ap,evermore,cowboy like me,1,11,71,True,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.12300000000000001,0.511,127.96700000000001,275040,4
7J4b3LVCIGO4CMBDFLPoP6,Red,Holy Ground,1,11,71,False,0.622,0.809,9,-5.6229999999999976,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,202960,4
3oGVx9RBmiYGv5ZCecWLkx,Red,Forever Winter,1,27,70,False,0.611,0.552,7,-5.827999999999999,1,0.031,0.256,0.0,0.134,0.41,116.012,263533,4
4e5ayHsOLJNLTGfjau2mEw,Red,The Lucky One,1,13,70,False,0.6859999999999999,0.5710000000000001,4,-7.138,1,0.05,0.066,0.0,0.0608,0.5379999999999999,117.889,240467,4
6iiAfo4wTA2CVC3Uwx9uh8,Fearless,You're Not Sorry,1,9,70,False,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.12300000000000001,0.24100000000000002,133.873,261843,4
0NRHj8hDwwmSPaA41o379r,Red,The Moment I Knew,1,17,70,False,0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.20800000000000002,125.95200000000001,285280,4
7A2cNLRT0YJc1yjxHlKihs,Red,Starlight,1,15,70,False,0.628,0.685,4,-5.864,1,0.0358,0.00324,0.0,0.18,0.605,126.014,220413,4
08fa9LFcFBTcilB3iq2e2A,folklore,epiphany,1,13,70,False,0.354,0.267,1,-13.69,1,0.0281,0.731,0.00040199999999999996,0.0858,0.113,94.219,289749,4
1cSFlSBdpT4F5vb1frQ231,Fearless,The Other Side Of The Door,1,19,70,False,0.4320000000000001,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.16699999999999998,0.629,163.93599999999995,238444,4
2m3ObD945KvpE5y9A1eUWm,Fearless,Jump Then Fall,1,14,69,False,0.5720000000000001,0.69,2,-6.2010000000000005,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,237580,4
7zMcNqs55Mxer82bvZFkpg,Taylor Swift,Teardrops On My Guitar,1,3,69,False,0.621,0.41700000000000004,10,-6.941,1,0.0231,0.28800000000000003,0.0,0.11900000000000001,0.289,99.95299999999999,203040,4
16MVSD0mGI4RMQT83Qzm69,Taylor Swift,Should've Said No,1,9,69,False,0.47600000000000003,0.777,4,-3.7710000000000004,0,0.0289,0.0103,0.0,0.196,0.47200000000000003,167.96400000000003,242200,4
7eResoqEJJAVTkQYSqvO3P,Fearless,That's When (Ft. Keith Urban),1,24,69,False,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.20100000000001,189496,4
